segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distance_water_km,distance_amenity_km
20_3,minor_road,0,35.04874017782512,-2.7583402707939584,2487.1856555591085,12.107536296154528,8.45388639053189
20_4,minor_road,0,35.04193562100552,-2.7796089744253103,2486.670087486001,13.16572002015535,7.04148301741686
20_5,minor_road,0,35.029933492912825,-2.798027783759781,2489.084083779809,14.2447622086778,4.61420059095797
21_1,minor_road,0,34.77543797967968,-2.6499558937865246,2491.386478211679,0.3963214722261536,4.97661018429117
23_1,minor_road,0,34.7948409361033,-2.510201689892894,2491.5935348177068,0.11311031570806684,2.28799405949324
23_2,minor_road,0,34.78248781993887,-2.5266214813086503,2486.9684123853526,0.11642536302501892,0.9072069361870679
23_3,minor_road,0,34.78562047039118,-2.545693496911511,2488.978420926754,1.355823920595183,1.4491656629582998
23_4,minor_road,0,34.79943959110333,-2.561748073556128,2489.8660797197813,1.4855800985212866,3.7770208309171
23_5,minor_road,0,34.791503842396594,-2.5823898248961803,2486.764618279155,3.423667794483815,2.96216916073761
23_6,minor_road,0,34.78655041531455,-2.604221273140786,2486.669095475432,2.96195454813965,2.2496722806961102
23_7,minor_road,0,34.77680943507915,-2.6227684021701236,2489.131009711998,0.9582911295285006,2.6150404085120997
25_1,minor_road,0,34.8999045323925,-2.6702393636929846,2495.9068988025806,1.0923059898389502,10.1026249819282
26_1,minor_road,0,34.82051747676982,-2.547177336011623,2496.5324938918156,0.44396441512057794,4.7967713559190095
26_2,minor_road,0,34.83013393412634,-2.5311931539165635,2486.1917592100745,0.12164327734427656,5.65632982984739
27_1,minor_road,0,34.78088266319902,-2.626011975763595,2490.1253955239354,0.5580622572680864,3.18919918858287
27_2,minor_road,0,34.79889667295046,-2.624733990656987,2495.4147525000662,0.34336216805861997,4.58337363547211
27_3,minor_road,0,34.81729117433665,-2.6178511967391023,2490.5251786830813,0.079236515890085693,5.97633744789462
27_4,minor_road,0,34.813990553241304,-2.598233800768423,2487.5247468538573,2.277764276975972,5.20078007010095
27_5,minor_road,0,34.80531143943005,-2.578378839087182,2332.856440356733,2.075884082119738,4.55384208734248
28_1,minor_road,0,34.81985141274891,-2.5069637426300746,2488.2951480748316,0.08654479608198334,4.9873794689568705
29_1,minor_road,0,34.85855032390939,-2.461728379323979,2283.2687371096104,1.8490386946159576,0.669465186567649
33_1,minor_road,0,34.90099910256017,-2.465751733877965,2496.477596062264,1.056710059542587,4.60969007771784
34_1,minor_road,0,34.92837727782438,-2.5024803984953232,2491.7871829872747,1.0902242121753416,6.38423223020943
34_2,minor_road,0,34.947511450414225,-2.5124773961348392,2493.115921211023,0.9148614640264778,7.08093004023088
39_1,minor_road,0,34.91236121922888,-2.5494093147607586,2492.3199139808635,0.09505102035408512,11.8135403416114
40_1,minor_road,0,34.82013947281165,-2.499834262144577,2487.0183994564377,0.15623241566725254,4.67786141248125
40_2,minor_road,0,34.82873753258228,-2.519999223416767,2487.071023888285,0.11542197105143494,5.71135947780056
40_3,minor_road,0,34.83245528927434,-2.541466472086801,2488.542011620637,0.2171835246392291,5.95912545835488
40_4,minor_road,0,34.845716520641446,-2.557152870096425,2494.3420421155083,0.1189825853394612,7.8037416122300804
